Country or Area Code,Country or Area,Year,Value,Value Footnotes,
AFG,Afghanistan,2012,5.454545455,1,
AFG,Afghanistan,2011,5,1,
AFG,Afghanistan,2010,4,1,
AFG,Afghanistan,2009,3.55,2,
AFG,Afghanistan,2008,1.84,2,
AFG,Afghanistan,2007,1.9,3,
AFG,Afghanistan,2006,2.107123645,4,
AFG,Afghanistan,2005,1.224148084,4,
AFG,Afghanistan,2004,0.10580903,4,
AFG,Afghanistan,2003,0.087891253,4,
AFG,Afghanistan,2002,0.004561395,4,
AFG,Afghanistan,2001,0.004722568,1,
AFG,Afghanistan,1990,0,4,
ALB,Albania,2012,54.65595904,1,
ALB,Albania,2011,49,1,
ALB,Albania,2010,45,5,
ALB,Albania,2009,41.2,5,
ALB,Albania,2008,23.86,5,
ALB,Albania,2007,15.03611541,1,
ALB,Albania,2006,9.609991316,1,
ALB,Albania,2005,6.043890864,6,
ALB,Albania,2004,2.420387798,6,
ALB,Albania,2003,0.971900415,6,
ALB,Albania,2002,0.390081273,7,
ALB,Albania,2001,0.325798377,7,
ALB,Albania,2000,0.114097347,7,
ALB,Albania,1999,0.081437045,7,
ALB,Albania,1998,0.06502737,7,
ALB,Albania,1997,0.048593919,7,
ALB,Albania,1996,0.032196828,7,
ALB,Albania,1995,0.011168695,7,
ALB,Albania,1990,0,7,
DZA,Algeria,2012,15.22802676,1,
DZA,Algeria,2011,14,1,
DZA,Algeria,2010,12.5,8,
DZA,Algeria,2009,11.23,8,
DZA,Algeria,2008,10.18,8,
DZA,Algeria,2007,9.451190626,9,
DZA,Algeria,2006,7.375984956,9,
DZA,Algeria,2005,5.843942092,,
DZA,Algeria,2004,4.634475088,,
DZA,Algeria,2003,2.195359731,,
DZA,Algeria,2002,1.59164126,,
DZA,Algeria,2001,0.646114017,,
DZA,Algeria,2000,0.491705679,,
DZA,Algeria,1999,0.199523843,,
DZA,Algeria,1998,0.020238555,,
DZA,Algeria,1997,0.010268463,,
DZA,Algeria,1996,0.001738533,,
DZA,Algeria,1995,0.001768954,,
DZA,Algeria,1994,0.000360674,,
DZA,Algeria,1990,0,,
ASM,American Samoa,1990,0,,
AND,Andorra,2012,86.43442462,1,
AND,Andorra,2011,81,10,
AND,Andorra,2010,81,10,
AND,Andorra,2009,78.53,11,
AND,Andorra,2008,70.04,11,
AND,Andorra,2007,70.87,11,
AND,Andorra,2006,48.936847,12,
AND,Andorra,2005,37.60576622,12,
AND,Andorra,2004,26.83795439,12,
AND,Andorra,2003,13.54641288,12,
AND,Andorra,2002,11.26046872,12,
AND,Andorra,2000,10.53883561,12,
AND,Andorra,1999,7.635686143,12,
AND,Andorra,1998,6.886209218,12,
AND,Andorra,1997,3.050175385,12,
AND,Andorra,1996,1.526601023,12,
AND,Andorra,1990,0,12,
AGO,Angola,2012,16.93721011,1,
