Country or Area Code,Country or Area,Year,Value,Value Footnotes
AFG,Afghanistan,2011,18033526069,
AFG,Afghanistan,2010,15936784436,
AFG,Afghanistan,2009,12486950469,
AFG,Afghanistan,2008,10190534636,
AFG,Afghanistan,2007,9843851009,
AFG,Afghanistan,2006,7057597615,
AFG,Afghanistan,2005,6275076016,
AFG,Afghanistan,2004,5285461999,
AFG,Afghanistan,2003,4583648922,
AFG,Afghanistan,2002,4128818043,
AFG,Afghanistan,2001,2461666315,
AFG,Afghanistan,1981,3478787910,
AFG,Afghanistan,1980,3641723447,
AFG,Afghanistan,1979,3697940345,
AFG,Afghanistan,1978,3300000108,
AFG,Afghanistan,1977,2953333419,
AFG,Afghanistan,1976,2555555567,
AFG,Afghanistan,1975,2366666615,
AFG,Afghanistan,1974,2155555499,
AFG,Afghanistan,1973,1733333265,
AFG,Afghanistan,1972,1595555476,
AFG,Afghanistan,1971,1831108972,
AFG,Afghanistan,1970,1748886596,
AFG,Afghanistan,1969,1408888923,
AFG,Afghanistan,1968,1373333367,
AFG,Afghanistan,1967,1673333419,
AFG,Afghanistan,1966,1399999966,
AFG,Afghanistan,1965,1006666638,
AFG,Afghanistan,1964,800000045.5,
AFG,Afghanistan,1963,751111190.8,
AFG,Afghanistan,1962,546666678,
AFG,Afghanistan,1961,548888894.6,
AFG,Afghanistan,1960,537777811.9,
ALB,Albania,2012,13119013351,
ALB,Albania,2011,12959563902,
ALB,Albania,2010,11858166295,
ALB,Albania,2009,12118580597,
ALB,Albania,2008,12968652891,
ALB,Albania,2007,10704661571,
ALB,Albania,2006,9132562332,
ALB,Albania,2005,8376483740,
ALB,Albania,2004,7464446950,
ALB,Albania,2003,5652325082,
ALB,Albania,2002,4449373456,
ALB,Albania,2001,4091020249,
ALB,Albania,2000,3686649387,
ALB,Albania,1999,3434402453,
ALB,Albania,1998,2727745453,
ALB,Albania,1997,2196223714,
ALB,Albania,1996,3013217853,
ALB,Albania,1995,2424498953,
ALB,Albania,1994,1985673026,
ALB,Albania,1993,1228071037,
ALB,Albania,1992,709452572.7,
ALB,Albania,1991,1139166679,
ALB,Albania,1990,2101624960,
ALB,Albania,1989,2335124992,
ALB,Albania,1988,2126000000,
ALB,Albania,1987,2156624896,
ALB,Albania,1986,2173750016,
ALB,Albania,1985,1965384581,
ALB,Albania,1984,1924242456,
DZA,Algeria,2012,2.07955E+11,
DZA,Algeria,2011,1.98539E+11,
DZA,Algeria,2010,1.61778E+11,
DZA,Algeria,2009,1.3812E+11,
DZA,Algeria,2008,1.70989E+11,
DZA,Algeria,2007,1.35804E+11,
DZA,Algeria,2006,1.17169E+11,
DZA,Algeria,2005,1.02339E+11,
DZA,Algeria,2004,85013944728,
DZA,Algeria,2003,68018606041,
DZA,Algeria,2002,57053038888,
DZA,Algeria,2001,55180990396,
DZA,Algeria,2000,54790058957,
DZA,Algeria,1999,48640613515,
DZA,Algeria,1998,48187780126,
DZA,Algeria,1997,48177861891,
DZA,Algeria,1996,46941496308,
DZA,Algeria,1995,41764054035,
DZA,Algeria,1994,42542573602,
DZA,Algeria,1993,49946456681,
DZA,Algeria,1992,48003297249,
DZA,Algeria,1991,45715368144,
DZA,Algeria,1990,62045098370,
DZA,Algeria,1989,55631488294,
DZA,Algeria,1988,59089065517,
DZA,Algeria,1987,66742269090,
DZA,Algeria,1986,63696299985,
DZA,Algeria,1985,57937867717,
DZA,Algeria,1984,53698280323,
DZA,Algeria,1983,48801372228,
DZA,Algeria,1982,45207090668,
DZA,Algeria,1981,44348670724,
DZA,Algeria,1980,42345276288,
DZA,Algeria,1979,33243421339,
DZA,Algeria,1978,26364491675,
DZA,Algeria,1977,20971901063,
DZA,Algeria,1976,17728348385,
DZA,Algeria,1975,15557934473,
DZA,Algeria,1974,13209713770,
DZA,Algeria,1973,8715106129,
DZA,Algeria,1972,6761786484,
DZA,Algeria,1971,5077222330,
DZA,Algeria,1970,4863487557,
DZA,Algeria,1969,4257253358,
DZA,Algeria,1968,3852147113,
DZA,Algeria,1967,3370870461,
DZA,Algeria,1966,3039859268,
DZA,Algeria,1965,3136284385,
DZA,Algeria,1964,2909340115,
DZA,Algeria,1963,2703004010,
DZA,Algeria,1962,2001460839,
DZA,Algeria,1961,2434766866,
DZA,Algeria,1960,2723637620,
ADO,Andorra,2008,3712034267,
ADO,Andorra,2007,3245411584,
ADO,Andorra,2006,2823503853,
ADO,Andorra,2005,2539759286,
ADO,Andorra,2004,2322163502,
ADO,Andorra,2003,1917948475,
ADO,Andorra,2002,1456198796,
ADO,Andorra,2001,1264760246,
ADO,Andorra,2000,1133644295,
ADO,Andorra,1999,1239840266,
ADO,Andorra,1998,1211953954,
ADO,Andorra,1997,1180646037,
ADO,Andorra,1996,1224023470,
ADO,Andorra,1995,1178745262,
ADO,Andorra,1994,1017544619,
ADO,Andorra,1993,1007090896,
ADO,Andorra,1992,1209992604,
ADO,Andorra,1991,1106890943,
ADO,Andorra,1990,1028989439,
ADO,Andorra,1989,795489398,
ADO,Andorra,1988,721426027.5,
ADO,Andorra,1987,611300198.5,
ADO,Andorra,1986,481996232.9,
ADO,Andorra,1985,346742901.7,
ADO,Andorra,1984,330073024.9,
ADO,Andorra,1983,327849949,
ADO,Andorra,1982,375914742.9,
ADO,Andorra,1981,388983013.9,
ADO,Andorra,1980,446377494.9,
ADO,Andorra,1979,411548246.8,
ADO,Andorra,1978,308020384.4,
ADO,Andorra,1977,253998069.1,
ADO,Andorra,1976,227284165.9,
ADO,Andorra,1975,220112850.8,
ADO,Andorra,1974,186557164,
ADO,Andorra,1973,150841699.1,
ADO,Andorra,1972,113414331.9,
ADO,Andorra,1971,89406659.51,
ADO,Andorra,1970,78617570.32,
AGO,Angola,2012,1.14197E+11,
AGO,Angola,2011,1.04116E+11,
AGO,Angola,2010,82470894868,
AGO,Angola,2009,75492417649,
AGO,Angola,2008,84178086999,
AGO,Angola,2007,60448890972,
AGO,Angola,2006,41789494462,
AGO,Angola,2005,28233699240,
AGO,Angola,2004,19775227835,
AGO,Angola,2003,13956268143,
AGO,Angola,2002,11431736695,
AGO,Angola,2001,8936079253,
AGO,Angola,2000,9129594819,
AGO,Angola,1999,6152922943,
AGO,Angola,1998,6445041825,
AGO,Angola,1997,7648377413,
AGO,Angola,1996,7526446606,
AGO,Angola,1995,5039534776,
AGO,Angola,1994,4059577145,
AGO,Angola,1993,5285600050,
AGO,Angola,1992,5779394292,
AGO,Angola,1991,12193746625,
AGO,Angola,1990,10260193361,
AGO,Angola,1989,9283054576,
AGO,Angola,1988,7975234067,
AGO,Angola,1987,7383121654,
AGO,Angola,1986,6355849179,
AGO,Angola,1985,6804278063,
ATG,Antigua and Barbuda,2012,1176348888,
ATG,Antigua and Barbuda,2011,1124586886,
ATG,Antigua and Barbuda,2010,1135539048,
ATG,Antigua and Barbuda,2009,1206410364,
ATG,Antigua and Barbuda,2008,1347349844,
ATG,Antigua and Barbuda,2007,1289254324,
ATG,Antigua and Barbuda,2006,1135143590,
ATG,Antigua and Barbuda,2005,1001970945,
ATG,Antigua and Barbuda,2004,905113766.5,
ATG,Antigua and Barbuda,2003,849234753.9,
ATG,Antigua and Barbuda,2002,806505874.3,
ATG,Antigua and Barbuda,2001,778311556.5,
ATG,Antigua and Barbuda,2000,787693391.3,
ATG,Antigua and Barbuda,1999,651851840.3,
ATG,Antigua and Barbuda,1998,620037014.2,
ATG,Antigua and Barbuda,1997,579851829.8,
ATG,Antigua and Barbuda,1996,541074082.3,
ATG,Antigua and Barbuda,1995,494185188.3,
ATG,Antigua and Barbuda,1994,500088880.1,
ATG,Antigua and Barbuda,1993,456537023,
ATG,Antigua and Barbuda,1992,423762955.5,
ATG,Antigua and Barbuda,1991,410388899.4,
ATG,Antigua and Barbuda,1990,391570363.5,
ATG,Antigua and Barbuda,1989,373403703,
ATG,Antigua and Barbuda,1988,338696290.3,
ATG,Antigua and Barbuda,1987,286474069,
ATG,Antigua and Barbuda,1986,245896292,
ATG,Antigua and Barbuda,1985,201862965.3,
ATG,Antigua and Barbuda,1984,173511108,
ATG,Antigua and Barbuda,1983,153270373.6,
ATG,Antigua and Barbuda,1982,137951855.3,
ATG,Antigua and Barbuda,1981,124462954.8,
ATG,Antigua and Barbuda,1980,110066664.7,
ATG,Antigua and Barbuda,1979,92240739.11,
ATG,Antigua and Barbuda,1978,74855554.23,
ATG,Antigua and Barbuda,1977,66144443.28,
ARB,Arab World,2011,2.55467E+12,
ARB,Arab World,2010,2.1036E+12,
ARB,Arab World,2009,1.80866E+12,
ARB,Arab World,2008,2.07324E+12,
ARB,Arab World,2007,1.63271E+12,
ARB,Arab World,2006,1.39662E+12,
ARB,Arab World,2005,1.15791E+12,
ARB,Arab World,2004,9.46336E+11,
ARB,Arab World,2003,8.04272E+11,
ARB,Arab World,2002,7.14116E+11,
ARB,Arab World,2001,7.04374E+11,
ARB,Arab World,2000,7.23715E+11,
ARB,Arab World,1999,6.28199E+11,
ARB,Arab World,1998,5.75771E+11,
ARB,Arab World,1997,5.92443E+11,
ARB,Arab World,1996,5.57448E+11,
ARB,Arab World,1995,5.04721E+11,
ARB,Arab World,1994,4.7021E+11,
ARB,Arab World,1993,4.59888E+11,
ARB,Arab World,1992,4.54276E+11,
ARB,Arab World,1991,4.24172E+11,
ARB,Arab World,1990,4.31253E+11,
ARB,Arab World,1989,3.83373E+11,
ARB,Arab World,1988,3.62905E+11,
ARB,Arab World,1987,3.76293E+11,
ARB,Arab World,1986,3.52631E+11,
ARB,Arab World,1985,3.74716E+11,
ARB,Arab World,1984,3.79561E+11,
ARB,Arab World,1983,3.75302E+11,
ARB,Arab World,1982,3.9794E+11,
ARB,Arab World,1981,4.2734E+11,
ARB,Arab World,1980,4.14569E+11,
ARB,Arab World,1979,3.12367E+11,
ARB,Arab World,1978,2.34144E+11,
ARB,Arab World,1977,2.11694E+11,
ARB,Arab World,1976,1.82285E+11,
ARB,Arab World,1975,1.47728E+11,
ARB,Arab World,1974,1.32179E+11,
ARB,Arab World,1973,69594125516,
ARB,Arab World,1972,54959714214,
ARB,Arab World,1971,45290947602,
ARB,Arab World,1970,39078463636,
ARB,Arab World,1969,35812713932,
ARB,Arab World,1968,32469822031,
ARG,Argentina,2012,4.70533E+11,
ARG,Argentina,2011,4.46044E+11,
ARG,Argentina,2010,3.68736E+11,
ARG,Argentina,2009,3.07155E+11,
ARG,Argentina,2008,3.26583E+11,
ARG,Argentina,2007,2.60769E+11,
ARG,Argentina,2006,2.14066E+11,
ARG,Argentina,2005,1.83193E+11,
ARG,Argentina,2004,1.5313E+11,
ARG,Argentina,2003,1.29597E+11,
ARG,Argentina,2002,1.0204E+11,
ARG,Argentina,2001,2.68697E+11,
ARG,Argentina,2000,2.84204E+11,
ARG,Argentina,1999,2.83523E+11,
ARG,Argentina,1998,2.98948E+11,
ARG,Argentina,1997,2.92859E+11,
ARG,Argentina,1996,2.7215E+11,
ARG,Argentina,1995,2.58032E+11,
ARG,Argentina,1994,2.5744E+11,
ARG,Argentina,1993,2.36754E+11,
ARG,Argentina,1992,2.28779E+11,
ARG,Argentina,1991,1.8972E+11,
ARG,Argentina,1990,1.41352E+11,
ARG,Argentina,1989,76636898036,
ARG,Argentina,1988,1.26207E+11,
ARG,Argentina,1987,1.11106E+11,
ARG,Argentina,1986,1.10934E+11,
ARG,Argentina,1985,88416668900,
ARG,Argentina,1984,79092001998,
ARG,Argentina,1983,1.03979E+11,
ARG,Argentina,1982,84307486837,
ARG,Argentina,1981,78676842366,
ARG,Argentina,1980,76961923742,
ARG,Argentina,1979,69252328953,
ARG,Argentina,1978,58082870156,
ARG,Argentina,1977,56781000101,
ARG,Argentina,1976,51169499891,
ARG,Argentina,1975,52438647922,
ARG,Argentina,1974,72436777342,
ARG,Argentina,1973,52544000117,
ARG,Argentina,1972,34733000536,
ARG,Argentina,1971,33293199095,
ARG,Argentina,1970,31584210365,
ARG,Argentina,1969,31256284545,
ARG,Argentina,1968,26436857248,
ARG,Argentina,1967,24256667555,
ARG,Argentina,1966,28630474726,
ARG,Argentina,1965,28344705968,
ARG,Argentina,1964,25605249382,
ARG,Argentina,1963,18272123664,
ARG,Argentina,1962,24450604878,
ARM,Armenia,2012,9910387657,
ARM,Armenia,2011,10138077996,
ARM,Armenia,2010,9260285762,
ARM,Armenia,2009,8648015305,
ARM,Armenia,2008,11662017845,
ARM,Armenia,2007,9206277479,
ARM,Armenia,2006,6384457744,
ARM,Armenia,2005,4900436759,
ARM,Armenia,2004,3576615240,
ARM,Armenia,2003,2807061009,
ARM,Armenia,2002,2376335048,
ARM,Armenia,2001,2118467913,
ARM,Armenia,2000,1911563665,
ARM,Armenia,1999,1845482181,
ARM,Armenia,1998,1893726437,
ARM,Armenia,1997,1639492424,
ARM,Armenia,1996,1596968913,
ARM,Armenia,1995,1468317350,
ARM,Armenia,1994,1315158670,
ARM,Armenia,1993,1201313196,
ARM,Armenia,1992,1272577522,
ARM,Armenia,1991,2068526522,
ARM,Armenia,1990,2256838858,
ABW,Aruba,2011,2584463687,
ABW,Aruba,2010,2467703911,
ABW,Aruba,2009,2498932961,
ABW,Aruba,2008,2791960894,
ABW,Aruba,2007,2623726257,
ABW,Aruba,2006,2421474860,
ABW,Aruba,2005,2331005587,
ABW,Aruba,2004,2228279330,
ABW,Aruba,2003,2021301676,
ABW,Aruba,2002,1941094972,
ABW,Aruba,2001,1920262570,
ABW,Aruba,2000,1873452514,
ABW,Aruba,1999,1722798883,
ABW,Aruba,1998,1665363128,
ABW,Aruba,1997,1531843575,
ABW,Aruba,1996,1379888268,
ABW,Aruba,1995,1320670391,
ABW,Aruba,1994,1330167598,
AUS,Australia,2012,1.52061E+12,
AUS,Australia,2011,1.38415E+12,
AUS,Australia,2010,1.13826E+12,
AUS,Australia,2009,9.23499E+11,
AUS,Australia,2008,1.05226E+12,
AUS,Australia,2007,8.50517E+11,
AUS,Australia,2006,7.4496E+11,
AUS,Australia,2005,6.92354E+11,
AUS,Australia,2004,6.11492E+11,
AUS,Australia,2003,4.66474E+11,
AUS,Australia,2002,3.95013E+11,
AUS,Australia,2001,3.79358E+11,
AUS,Australia,2000,4.15774E+11,
AUS,Australia,1999,3.89475E+11,
AUS,Australia,1998,3.99746E+11,
AUS,Australia,1997,4.35891E+11,
AUS,Australia,1996,4.01901E+11,
AUS,Australia,1995,3.68595E+11,
AUS,Australia,1994,3.23413E+11,
AUS,Australia,1993,3.12315E+11,
AUS,Australia,1992,3.25588E+11,
AUS,Australia,1991,3.26154E+11,
AUS,Australia,1990,3.11412E+11,
AUS,Australia,1989,2.9973E+11,
AUS,Australia,1988,2.36144E+11,
AUS,Australia,1987,1.88932E+11,
AUS,Australia,1986,1.81979E+11,
AUS,Australia,1985,1.80604E+11,
AUS,Australia,1984,1.93579E+11,
AUS,Australia,1983,1.77102E+11,
AUS,Australia,1982,1.9392E+11,
AUS,Australia,1981,1.76872E+11,
AUS,Australia,1980,1.49832E+11,
AUS,Australia,1979,1.34711E+11,
AUS,Australia,1978,1.18305E+11,
AUS,Australia,1977,1.10182E+11,
AUS,Australia,1976,1.04928E+11,
AUS,Australia,1975,97141881742,
AUS,Australia,1974,88851879145,
AUS,Australia,1973,63738629084,
AUS,Australia,1972,51949766355,
AUS,Australia,1971,45149512823,
AUS,Australia,1970,41272258932,
AUS,Australia,1969,36614402509,
AUS,Australia,1968,32653152649,
AUS,Australia,1967,30375181991,
AUS,Australia,1966,27247172136,
AUS,Australia,1965,25931235301,
AUS,Australia,1964,23755179751,
AUS,Australia,1963,21494008288,
AUS,Australia,1962,19873446075,
AUS,Australia,1961,19648336880,
AUS,Australia,1960,18581028111,
AUT,Austria,2012,3.99649E+11,
AUT,Austria,2011,4.17656E+11,
AUT,Austria,2010,3.76838E+11,
AUT,Austria,2009,3.83627E+11,
AUT,Austria,2008,4.14171E+11,
AUT,Austria,2007,3.75042E+11,
AUT,Austria,2006,3.24954E+11,
AUT,Austria,2005,3.04984E+11,
AUT,Austria,2004,2.9143E+11,
AUT,Austria,2003,2.53946E+11,
AUT,Austria,2002,2.07537E+11,
AUT,Austria,2001,1.91679E+11,
AUT,Austria,2000,1.92071E+11,
AUT,Austria,1999,2.12302E+11,
AUT,Austria,1998,2.1333E+11,
AUT,Austria,1997,2.07826E+11,
AUT,Austria,1996,2.34676E+11,
AUT,Austria,1995,2.38562E+11,
AUT,Austria,1994,2.01444E+11,
AUT,Austria,1993,1.88424E+11,
AUT,Austria,1992,1.93074E+11,
AUT,Austria,1991,1.72009E+11,
AUT,Austria,1990,1.64753E+11,
AUT,Austria,1989,1.31738E+11,
AUT,Austria,1988,1.31969E+11,
AUT,Austria,1987,1.22893E+11,
AUT,Austria,1986,98018638125,
AUT,Austria,1985,68673874036,
AUT,Austria,1984,67286843408,
AUT,Austria,1983,71380023748,
AUT,Austria,1982,70542983786,
AUT,Austria,1981,70304401244,
AUT,Austria,1980,81215814720,
AUT,Austria,1979,73177642820,
AUT,Austria,1978,61414715247,
AUT,Austria,1977,51016162684,
AUT,Austria,1976,42518592468,
AUT,Austria,1975,39647626537,
AUT,Austria,1974,34827754652,
AUT,Austria,1973,29212217262,
AUT,Austria,1972,21832965362,
AUT,Austria,1971,17675002528,
AUT,Austria,1970,15215058932,
AUT,Austria,1969,13582798556,
AUT,Austria,1968,12440625313,
AUT,Austria,1967,11579431669,
AUT,Austria,1966,10887682273,
AUT,Austria,1965,9994070616,
AUT,Austria,1964,9169983886,
AUT,Austria,1963,8374175258,
AUT,Austria,1962,7756110210,
AUT,Austria,1961,7311749633,
AUT,Austria,1960,6592693841,
AZE,Azerbaijan,2012,68726938990,
AZE,Azerbaijan,2011,65952763949,
AZE,Azerbaijan,2010,52905998879,
AZE,Azerbaijan,2009,44291490421,
AZE,Azerbaijan,2008,48852482960,
AZE,Azerbaijan,2007,33049380918,
AZE,Azerbaijan,2006,20982270733,
AZE,Azerbaijan,2005,13245421881,
AZE,Azerbaijan,2004,8680511918,
AZE,Azerbaijan,2003,7275766111,
AZE,Azerbaijan,2002,6236024951,
AZE,Azerbaijan,2001,5707618247,
AZE,Azerbaijan,2000,5272617196,
AZE,Azerbaijan,1999,4581222442,
AZE,Azerbaijan,1998,4446396218,
AZE,Azerbaijan,1997,3962710163,
AZE,Azerbaijan,1996,3176749593,
AZE,Azerbaijan,1995,3052467522,
AZE,Azerbaijan,1994,3313739674,
AZE,Azerbaijan,1993,3973027397,
AZE,Azerbaijan,1992,4991350458,
AZE,Azerbaijan,1991,8792365811,
AZE,Azerbaijan,1990,8858006036,
BHS,"Bahamas, The",2012,8149004000,
BHS,"Bahamas, The",2011,7872584000,
BHS,"Bahamas, The",2010,7888087000,
BHS,"Bahamas, The",2009,7820420000,
BHS,"Bahamas, The",2008,8246650000,
BHS,"Bahamas, The",2007,8318996000,
BHS,"Bahamas, The",2006,7965588000,
BHS,"Bahamas, The",2005,7706222000,
BHS,"Bahamas, The",2004,7094413000,
BHS,"Bahamas, The",2003,6949317000,
BHS,"Bahamas, The",2002,6957996000,
BHS,"Bahamas, The",2001,6516651000,
BHS,"Bahamas, The",2000,6327552000,
BHS,"Bahamas, The",1999,6019972000,
BHS,"Bahamas, The",1998,5353524000,
BHS,"Bahamas, The",1997,4961119000,
BHS,"Bahamas, The",1996,3609000000,
BHS,"Bahamas, The",1995,3429000000,
BHS,"Bahamas, The",1994,3259000000,
BHS,"Bahamas, The",1993,3092000000,
BHS,"Bahamas, The",1992,3109000000,
BHS,"Bahamas, The",1991,3111160000,
BHS,"Bahamas, The",1990,3166000000,
BHS,"Bahamas, The",1989,3062000000,
BHS,"Bahamas, The",1988,2817900032,
BHS,"Bahamas, The",1987,2713999872,
BHS,"Bahamas, The",1986,2472499968,
BHS,"Bahamas, The",1985,2320699904,
BHS,"Bahamas, The",1984,2041100032,
BHS,"Bahamas, The",1983,1732800000,
BHS,"Bahamas, The",1982,1578300032,
BHS,"Bahamas, The",1981,1426499968,
BHS,"Bahamas, The",1980,1335299968,
BHS,"Bahamas, The",1979,1139800064,
BHS,"Bahamas, The",1978,832400000,
BHS,"Bahamas, The",1977,713000000,
