Country or Area Code,Country or Area,Year,Flow,Trade (USD)
4,Afghanistan,2012,Import,6204984101
4,Afghanistan,2012,Export,428902710
4,Afghanistan,2011,Import,6390310947
4,Afghanistan,2011,Export,375850935
4,Afghanistan,2010,Import,5154249867
4,Afghanistan,2010,Export,388483635
4,Afghanistan,2009,Import,3336434781
4,Afghanistan,2009,Export,403441006
4,Afghanistan,2008,Import,3019860129
4,Afghanistan,2008,Export,540065594
8,Albania,2012,Import,4879829648
8,Albania,2012,Export,1967918947
8,Albania,2011,Import,5395853069
8,Albania,2011,Export,1948207305
8,Albania,2010,Import,4602774967
8,Albania,2010,Export,1549955724
8,Albania,2010,Re-Import,26393
8,Albania,2009,Import,4548287875
8,Albania,2009,Export,1087914902
8,Albania,2009,Re-Import,272403
8,Albania,2008,Import,5250490022
8,Albania,2008,Export,1354921653
8,Albania,2008,Re-Export,810868093
8,Albania,2008,Re-Import,509068
8,Albania,2007,Import,4200864046
8,Albania,2007,Export,1077690359
8,Albania,2007,Re-Import,4494753
8,Albania,2006,Import,3057408426
8,Albania,2006,Export,792629671
8,Albania,2006,Re-Export,554297077
8,Albania,2006,Re-Import,435819995
8,Albania,2005,Import,2614347012
8,Albania,2005,Export,658233171
8,Albania,2005,Re-Export,461683735
8,Albania,2005,Re-Import,96466966
8,Albania,2004,Import,2300168341
8,Albania,2004,Export,602653356
8,Albania,2004,Re-Import,394280
8,Albania,2003,Import,1864328860
8,Albania,2003,Export,447220546
8,Albania,2003,Re-Import,6792
8,Albania,2002,Import,1503685206
8,Albania,2002,Export,330241497
8,Albania,2001,Import,1330631066
8,Albania,2001,Export,304930699
8,Albania,2000,Import,1089467879
8,Albania,2000,Export,261475781
8,Albania,1999,Import,1154351169
8,Albania,1999,Export,351097824
8,Albania,1998,Import,841256184
8,Albania,1998,Export,207653802
8,Albania,1997,Import,629026304
8,Albania,1997,Export,137681008
8,Albania,1996,Import,938481792
8,Albania,1996,Export,211140400
12,Algeria,2013,Import,54909973274
12,Algeria,2013,Export,65998137595
12,Algeria,2012,Export,71865748994
12,Algeria,2012,Import,50369390586
12,Algeria,2011,Import,47219730324
12,Algeria,2011,Export,73436306091
12,Algeria,2010,Import,40999891115
12,Algeria,2010,Export,57050973573
12,Algeria,2009,Import,39258326938
12,Algeria,2009,Export,45193920241
12,Algeria,2008,Import,39474721566
12,Algeria,2008,Export,79297591513
12,Algeria,2007,Import,27631203951
12,Algeria,2007,Export,60163160346
12,Algeria,2006,Import,21455854547
12,Algeria,2006,Export,54612721784
12,Algeria,2005,Import,20356879694
12,Algeria,2005,Export,46001735483
12,Algeria,2004,Import,18303023344
12,Algeria,2004,Export,32076791698
12,Algeria,2003,Import,13545429533
12,Algeria,2003,Export,24653655793
12,Algeria,2002,Import,12009774693
12,Algeria,2002,Export,18832409255
12,Algeria,2002,Re-Import,227271
12,Algeria,2001,Import,9945719404
12,Algeria,2001,Export,19147619190
12,Algeria,2001,Re-Import,1384891
12,Algeria,2000,Import,9152077226
12,Algeria,2000,Export,22031287644
12,Algeria,1999,Import,9161845368
12,Algeria,1999,Export,12525276632
12,Algeria,1998,Import,9403430912
12,Algeria,1998,Export,9838587904
12,Algeria,1997,Import,8688356352
12,Algeria,1997,Export,13894123520
